,oscar_winning_movies
0,The Father (2020 film)
1,Judas and the Black Messiah
2,Minari (film)
3,Mank
4,Sound of Metal
5,Ma Rainey's Black Bottom (film)
6,Promising Young Woman
7,Tenet (film)
8,Soul (2020 film)
9,Another Round (film)
10,My Octopus Teacher
11,Colette (2020 film)
12,If Anything Happens I Love You
13,Two Distant Strangers
14,Parasite (2019 film)
15,Ford v Ferrari
16,Learning to Skateboard in a Warzone (If You're a Girl)
17,The Neighbors' Window
18,Little Women (2019 film)
19,Marriage Story
20,Jojo Rabbit
21,Toy Story 4
22,Joker (2019 film)
23,Once Upon a Time in Hollywood
24,1917 (2019 film)
25,Judy (film)
26,Bombshell (2019 film)
27,Rocketman (film)
28,American Factory
29,Hair Love
30,Green Book (film)
31,Bohemian Rhapsody (film)
32,Roma (2018 film)
33,Black Panther (film)
34,The Favourite
35,A Star Is Born (2018 film)
36,Vice (2018 film)
37,BlacKkKlansman
38,First Man (film)
39,If Beale Street Could Talk (film)
40,Bao (film)
41,Free Solo
42,Period. End of Sentence.
43,Skin (2018 short film)
44,Spider-Man: Into the Spider-Verse
45,The Shape of Water
46,Dunkirk (2017 film)
47,"Three Billboards Outside Ebbing, Missouri"
48,Darkest Hour (film)
49,Blade Runner 2049
50,Coco (2017 film)
51,Phantom Thread
52,Call Me by Your Name (film)
53,Get Out
54,"I, Tonya"
55,Dear Basketball
56,A Fantastic Woman
57,Heaven Is a Traffic Jam on the 405
58,Icarus (2017 film)
59,The Silent Child
60,Flesh and Sand
61,
62,Moonlight (2016 film)
63,La La Land (film)
64,Hacksaw Ridge
65,Manchester by the Sea (film)
66,Arrival (film)
67,Fences (film)
68,Fantastic Beasts and Where to Find Them (film)
69,The Jungle Book (2016 film)
70,O.J.: Made in America
71,Piper (film)
72,The Salesman (2016 film)
73,Sing (2016 Hungarian film)
74,Suicide Squad (film)
75,The White Helmets (film)
76,Zootopia
77,Spotlight (film)
78,Mad Max: Fury Road
79,The Revenant (2015 film)
80,Bridge of Spies (film)
81,The Big Short (film)
82,The Danish Girl (film)
83,Room (2015 film)
84,The Hateful Eight
85,Ex Machina (film)
86,Inside Out (2015 film)
87,Amy (2015 film)
88,Bear Story
89,A Girl in the River: The Price of Forgiveness
90,Son of Saul
91,Spectre (2015 film)
92,Stutterer (film)
93,Birdman (film)
94,The Grand Budapest Hotel
95,Whiplash (2014 film)
96,The Imitation Game
97,American Sniper
98,Boyhood (film)
99,Interstellar (film)
100,The Theory of Everything (2014 film)
101,Ida (film)
102,Selma (film)
103,Citizenfour
104,Big Hero 6 (film)
105,Crisis Hotline: Veterans Press 1
106,The Phone Call (2013 film)
107,Still Alice
108,Feast (2014 film)
109,12 Years a Slave (film)
110,Gravity (2013 film)
111,Dallas Buyers Club
112,Frozen (2013 film)
113,The Great Gatsby (2013 film)
114,Her (film)
115,Blue Jasmine
116,Mr Hublot
117,The Lady in Number 6
118,Helium (film)
119,The Great Beauty
120,20 Feet from Stardom
121,Argo (2012 film)
122,Life of Pi (film)
123,Les Misérables (2012 film)
124,Lincoln (film)
125,Django Unchained
126,Skyfall
127,Silver Linings Playbook
128,Zero Dark Thirty
129,Amour (2012 film)
130,Anna Karenina (2012 film)
131,Paperman
132,Brave (2012 film)
133,Searching for Sugar Man
134,Inocente
135,Curfew (2012 film)
136,The Artist (film)
137,Hugo (film)
138,The Iron Lady (film)
139,The Descendants
140,The Girl with the Dragon Tattoo (2011 film)
141,Midnight in Paris
142,The Help (film)
143,A Separation
144,The Fantastic Flying Books of Mr. Morris Lessmore
145,The Shore (2011 film)
146,Undefeated (2011 film)
147,The Muppets (film)
148,Saving Face (2012 film)
149,Beginners
150,Rango (2011 film)
151,The King's Speech
152,Inception
153,The Social Network
154,The Fighter
155,Toy Story 3
156,Alice in Wonderland (2010 film)
157,Black Swan (film)
158,In a Better World
159,The Lost Thing
160,God of Love (film)
161,The Wolfman (2010 film)
162,Strangers No More
163,Inside Job (2010 film)
164,The Hurt Locker
165,Avatar (2009 film)
166,Precious (film)
167,Up (2009 film)
168,Crazy Heart
169,Inglourious Basterds
170,Star Trek (film)
171,The Young Victoria
172,The Blind Side (film)
173,Music by Prudence
174,The Secret in Their Eyes
175,The Cove (film)
176,The New Tenants
177,Logorama
178,Slumdog Millionaire
179,The Curious Case of Benjamin Button (film)
180,Milk (2008 American film)
181,The Dark Knight (film)
182,WALL-E
183,The Reader (2008 film)
184,The Duchess (film)
185,Departures (2008 film)
186,Vicky Cristina Barcelona
187,Smile Pinki
188,Man on Wire
189,Toyland (film)
190,La Maison en Petits Cubes
191,No Country for Old Men (film)
192,The Bourne Ultimatum (film)
193,There Will Be Blood
194,La Vie en rose (film)
195,Atonement (2007 film)
196,Michael Clayton (film)
197,Ratatouille (film)
198,Juno (film)
199,Sweeney Todd: The Demon Barber of Fleet Street (2007 film)
200,The Golden Compass (film)
201,Elizabeth: The Golden Age
202,Taxi to the Dark Side
203,Peter & the Wolf (2006 film)
204,Once (film)
